T,tau,seed,auc_tr,auc_te
30,1,0,0.9898273169835583,0.4473802060008957
30,1,1,0.9971372585040262,0.6810824643336959
30,1,2,0.9834588653133707,0.6091101017209392
30,1,3,0.9882505128440648,0.5590813127758941
30,1,4,0.9508358592817122,0.5706608662273687
30,90,0,0.9530473168133086,0.47402300216945525
30,90,1,0.9597696588167983,0.430677484224395
30,90,2,0.9361048558993714,0.45783034661753197
30,90,3,0.9617557637836532,0.4764698307032403
30,90,4,0.9485748929963921,0.43450919789592557
30,180,0,0.9244394032298185,0.4969628772960752
30,180,1,0.94352462291167,0.42602861042519713
30,180,2,0.9247839714725514,0.4184623719772034
30,180,3,0.9397365820815007,0.4428364538076037
30,180,4,0.9251248288520699,0.43881474072453347
30,365,0,0.9566459437614072,0.5325241808000428
30,365,1,0.9625994904605425,0.4430512016718914
30,365,2,0.9635691387585601,0.4219060632853736
30,365,3,0.9669423731148324,0.3837312113174182
30,365,4,0.9532968701414329,0.34073895453205794
30,730,0,0.9666993701762736,0.3854110207768744
30,730,1,0.9740364345323922,0.25591689250225835
30,730,2,0.9735902069417663,0.2946070460704607
30,730,3,0.9778206032772092,0.272836495031617
30,730,4,0.962304519071516,0.1685817524841915
90,1,0,0.9951143836250811,0.49148311306901615
90,1,1,0.9978620604488901,0.5687958883994126
90,1,2,0.9858911426013399,0.6155653450807637
90,1,3,0.9962026488839492,0.5886930983847283
90,1,4,0.99005124880368,0.3998531571218795
90,90,0,0.9787661111670029,0.44099954620825815
90,90,1,0.9860578106600082,0.4763673433396922
90,90,2,0.9849692178494939,0.4471311114026466
90,90,3,0.9872797086221007,0.38576384333646613
90,90,4,0.9878613858487946,0.46506126188514985
90,180,0,0.9695008106084076,0.5252733077344527
90,180,1,0.9803456824798304,0.5038155586019405
90,180,2,0.9755484046274939,0.41880986011544924
90,180,3,0.9787821679646908,0.40004531048082276
90,180,4,0.9770685676734374,0.4566926585462271
90,365,0,0.9884718204820766,0.6821010975999252
90,365,1,0.9893092950948489,0.5838935585139946
90,365,2,0.9886512118872928,0.33301913983687903
90,365,3,0.9912424341871553,0.41151038786018646
90,365,4,0.9877416659906705,0.4051693918408364
90,730,0,0.9927026593620825,0.4632917375685385
90,730,1,0.9922885531389328,0.27415390432974096
90,730,2,0.9939342241966188,0.23848553601815087
90,730,3,0.9920092877473258,0.38796558895821515
90,730,4,0.9876738764164833,0.2901588201928531
180,1,0,0.9667745263552805,0.5540880503144654
180,1,1,0.8950869130244482,0.48199685534591197
180,1,2,0.8008425561183018,0.709748427672956
180,1,3,0.9194803976739823,0.6709905660377359
180,1,4,0.9076080160070031,0.545440251572327
180,90,0,0.9957826043816117,0.41668760259621784
180,90,1,0.9969548243747096,0.4123581336696091
180,90,2,0.9950613084038175,0.3789700010488291
180,90,3,0.9963736614903733,0.3675292269641764
180,90,4,0.9937509201277857,0.4692071095977618
180,180,0,0.9913331735655408,0.44733512416461685
180,180,1,0.9920370561977446,0.42006504737022365
180,180,2,0.9897550011441749,0.3936526447785191
180,180,3,0.9910853650308379,0.36915373314726807
180,180,4,0.9910039738913538,0.42363302866556646
180,365,0,0.9916845525272522,0.6298069105691058
180,365,1,0.9935626181506214,0.5292784552845529
180,365,2,0.9913168365505097,0.39428861788617886
180,365,3,0.9936730334674213,0.5329979674796748
180,365,4,0.9906525754312331,0.4603353658536585
180,730,0,0.9959640141869369,0.3403252032520325
180,730,1,0.9962397844665566,0.30636178861788615
180,730,2,0.9961362715156028,0.10707317073170732
180,730,3,0.996731754115291,0.30583333333333335
180,730,4,0.9927991680005002,0.2819308943089431
365,1,0,0.8616517470401386,0.5137994480220791
365,1,1,0.7719318509962461,0.5731370745170195
365,1,2,0.6921936663778997,0.6043238270469182
365,1,3,0.8077389546635865,0.6566697332106716
365,1,4,0.8232938685147753,0.6168353265869365
365,90,0,0.995475748230502,0.4844416156472894
365,90,1,0.9977333783619854,0.370178416277707
365,90,2,0.9969108841119775,0.37364200898479855
365,90,3,0.9980912098422554,0.42255157503384455
365,90,4,0.996991045678682,0.40467627110653115
365,180,0,0.9931636724957125,0.532369768142126
365,180,1,0.9922149243840727,0.4679399492407622
365,180,2,0.9946362232684949,0.46519550909794816
365,180,3,0.9941219315143482,0.46310491676345333
365,180,4,0.9939419739095674,0.5296726459328085
365,365,0,0.9952006186454839,0.5609515799591493
365,365,1,0.9956697196052922,0.2990628379190196
365,365,2,0.9948351295845717,0.21463414634146344
365,365,3,0.9960601554195483,0.11670070887900998
365,365,4,0.9949776703183273,0.2372461852697345
365,730,0,0.997666259528532,0.5422443830349634
365,730,1,0.998870566631296,0.2802475069085667
365,730,2,0.998291261871998,0.11783010933557611
365,730,3,0.9988795889748368,0.09196203292082183
365,730,4,0.9985662675900546,0.11348071608794906
730,1,0,0.7539297871259464,0.5139848066298343
730,1,1,0.723324696438551,0.6049723756906078
730,1,2,0.7490829649951735,0.7083908839779006
730,1,3,0.7364019712442209,0.6987223756906077
730,1,4,0.750403901844231,0.6256906077348066
730,90,0,0.9953102403982975,0.3862914874060571
730,90,1,0.996980123615736,0.4675708867896839
730,90,2,0.9954423652431642,0.6019989649872168
730,90,3,0.997732193025321,0.576857423127129
730,90,4,0.9942915679302409,0.5498930229324848
730,180,0,0.996866317406469,0.5359217616438106
730,180,1,0.9941361834004708,0.5603758222254751
730,180,2,0.9944231303322603,0.6195303137036055
730,180,3,0.9974744688993632,0.6078750674705189
730,180,4,0.9957614826701968,0.6984548107623483
730,365,0,0.9987800740868334,0.7060037523452157
730,365,1,0.9986475081162648,0.5255534709193246
730,365,2,0.9985189763542839,0.46420262664165113
730,365,3,0.9988985672367472,0.7332270168855536
730,365,4,0.9982628510183655,0.41992495309568484
730,730,0,0.999121671068582,0.5420825515947467
730,730,1,0.9985241709607402,0.5738649155722326
730,730,2,0.9993372288847977,0.4776735459662289
730,730,3,0.9992952240361302,0.4576735459662289
730,730,4,0.9992859175726531,0.3351782363977486
